addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,ref,url,website,building,amenity,building:flats,building:levels,building:material,building:min_level,building:use,craft,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
,,,,,,,,,,,,,,,,house,,,,,,,,5.1,,,,,,1977,,8935749689,1482598650,1,0,"POLYGON ((-118.80310821533203 34.019779205322266, -118.80314636230469 34.019771575927734, -118.80310821533203 34.01964569091797, -118.8032455444336 34.019615173339844, -118.80329132080078 34.019752502441406, -118.8033218383789 34.019744873046875, -118.80335235595703 34.01984786987305, -118.8033218383789 34.01985549926758, -118.80332946777344 34.01988220214844, -118.80343627929688 34.01986312866211, -118.80345916748047 34.01993942260742, -118.80333709716797 34.019962310791016, -118.80332946777344 34.01995086669922, -118.80329895019531 34.01995849609375, -118.80329895019531 34.01995849609375, -118.80323028564453 34.01996994018555, -118.80323028564453 34.019954681396484, -118.80320739746094 34.01995849609375, -118.80318450927734 34.01995086669922, -118.80318450927734 34.01993179321289, -118.80319213867188 34.01991653442383, -118.80319213867188 34.01991653442383, -118.80318450927734 34.0198860168457, -118.80314636230469 34.019893646240234, -118.80310821533203 34.019779205322266), (-118.80332946777344 34.01982116699219, -118.8033218383789 34.01980209350586, -118.80329895019531 34.019805908203125, -118.80330657958984 34.01982498168945, -118.80332946777344 34.01982116699219))","{""building:units"":""1"",""ele"":""71.7"",""lacounty:ain"":""4466019007"",""lacounty:bld_id"":""318269830563"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,7.4,,,,,,1970,,8997115424,1482598651,1,0,"POLYGON ((-118.81062316894531 34.01982498168945, -118.81059265136719 34.019874572753906, -118.81060028076172 34.01987838745117, -118.8105239868164 34.01997756958008, -118.8105239868164 34.01997756958008, -118.81048583984375 34.02003479003906, -118.81047058105469 34.02002716064453, -118.8104019165039 34.02012252807617, -118.8103256225586 34.02008819580078, -118.81034088134766 34.02006530761719, -118.81027221679688 34.02003479003906, -118.81029510498047 34.0200080871582, -118.81022644042969 34.01997756958008, -118.81024169921875 34.01994705200195, -118.81014251708984 34.0198974609375, -118.810302734375 34.01966857910156, -118.81062316894531 34.01982498168945), (-118.81028747558594 34.0198860168457, -118.81028747558594 34.01988220214844, -118.81031036376953 34.01988983154297, -118.81031036376953 34.0198860168457, -118.81034088134766 34.0198974609375, -118.81033325195312 34.01990509033203, -118.81034851074219 34.0199089050293, -118.81031036376953 34.01995849609375, -118.81034088134766 34.01997375488281, -118.81035614013672 34.01994705200195, -118.81036376953125 34.01995086669922, -118.81037139892578 34.01994323730469, -118.8104019165039 34.019962310791016, -118.8104019165039 34.01996612548828, -118.8104019165039 34.01996994018555, -118.81043243408203 34.01993179321289, -118.81043243408203 34.019935607910156, -118.81044006347656 34.01992416381836, -118.81043243408203 34.019920349121094, -118.81045532226562 34.0198860168457, -118.81046295166016 34.01988983154297, -118.81048583984375 34.01986312866211, -118.81050872802734 34.019874572753906, -118.81051635742188 34.019859313964844, -118.81047821044922 34.019840240478516, -118.81047058105469 34.01984786987305, -118.81044006347656 34.01983642578125, -118.8104476928711 34.01982879638672, -118.8104019165039 34.019805908203125, -118.81039428710938 34.019813537597656, -118.81036376953125 34.019798278808594, -118.81037139892578 34.01979064941406, -118.81034088134766 34.019775390625, -118.81031799316406 34.01980209350586, -118.8103256225586 34.019805908203125, -118.81029510498047 34.01984786987305, -118.81028747558594 34.01984405517578, -118.81026458740234 34.01987838745117, -118.81028747558594 34.0198860168457))","{""building:units"":""12"",""ele"":""74.1"",""lacounty:ain"":""4468010047"",""lacounty:bld_id"":""316070830623"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,6.6,,,,,,1977,,9003933844,1482598652,1,0,"POLYGON ((-118.80936431884766 34.02058029174805, -118.80899810791016 34.020408630371094, -118.80903625488281 34.020362854003906, -118.80909729003906 34.02032470703125, -118.80912017822266 34.020347595214844, -118.80915069580078 34.020328521728516, -118.80912780761719 34.02030563354492, -118.80918884277344 34.02027130126953, -118.80946350097656 34.02040481567383, -118.8094482421875 34.020408630371094, -118.80946350097656 34.02042770385742, -118.80936431884766 34.02058029174805), (-118.8093490600586 34.02041244506836, -118.80931854248047 34.02043151855469, -118.80934143066406 34.020450592041016, -118.80937194824219 34.02043533325195, -118.8093490600586 34.02041244506836), (-118.80929565429688 34.020389556884766, -118.80926513671875 34.020408630371094, -118.80928802490234 34.020423889160156, -118.80931091308594 34.02040481567383, -118.80929565429688 34.020389556884766), (-118.80924224853516 34.020362854003906, -118.80921173095703 34.02037811279297, -118.8092269897461 34.02040100097656, -118.80925750732422 34.020381927490234, -118.80924224853516 34.020362854003906), (-118.80918884277344 34.02033615112305, -118.80915832519531 34.020355224609375, -118.80917358398438 34.0203742980957, -118.8092041015625 34.02035903930664, -118.80918884277344 34.02033615112305))","{""building:units"":""1"",""ele"":""70.0"",""lacounty:ain"":""4466021021"",""lacounty:bld_id"":""316469830799"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,retail,,,,,,,,8.3,,,yes,,,1991,,8963023339,1482598651,1,0,"POLYGON ((-118.808349609375 34.020957946777344, -118.80839538574219 34.020938873291016, -118.80843353271484 34.02092742919922, -118.80843353271484 34.020931243896484, -118.80847930908203 34.02092361450195, -118.80852508544922 34.02092361450195, -118.80857849121094 34.02092361450195, -118.80862426757812 34.020931243896484, -118.8086929321289 34.02095413208008, -118.8087387084961 34.02097702026367, -118.80878448486328 34.0210075378418, -118.80882263183594 34.02103805541992, -118.80885314941406 34.021080017089844, -118.80888366699219 34.02113342285156, -118.80884552001953 34.021141052246094, -118.80885314941406 34.02118682861328, -118.8088607788086 34.021236419677734, -118.80885314941406 34.02128219604492, -118.80883026123047 34.02132797241211, -118.80879974365234 34.021385192871094, -118.80875396728516 34.021419525146484, -118.8087158203125 34.02145004272461, -118.80864715576172 34.02147674560547, -118.80860900878906 34.021484375, -118.8086166381836 34.021514892578125, -118.8085708618164 34.021522521972656, -118.80850219726562 34.021522521972656, -118.80843353271484 34.02151107788086, -118.80834197998047 34.021484375, -118.80838012695312 34.021419525146484, -118.8083724975586 34.02141571044922, -118.80833435058594 34.021392822265625, -118.80831146240234 34.02136993408203, -118.80828094482422 34.02133560180664, -118.80827331542969 34.02130889892578, -118.80826568603516 34.02128219604492, -118.80821990966797 34.02128982543945, -118.80821990966797 34.02126693725586, -118.80821228027344 34.02123260498047, -118.80821228027344 34.02120590209961, -118.80821990966797 34.02116012573242, -118.80823516845703 34.021121978759766, -118.80827331542969 34.02113342285156, -118.80828857421875 34.02110290527344, -118.80830383300781 34.021080017089844, -118.80828094482422 34.021060943603516, -118.80829620361328 34.02104568481445, -118.80833435058594 34.02101516723633, -118.80835723876953 34.02100372314453, -118.8083267211914 34.02096939086914, -118.808349609375 34.020957946777344), (-118.80841827392578 34.021183013916016, -118.80841064453125 34.021209716796875, -118.80840301513672 34.021240234375, -118.80841827392578 34.021270751953125, -118.80842590332031 34.02128219604492, -118.80844116210938 34.021297454833984, -118.80845642089844 34.02130889892578, -118.80860137939453 34.02109146118164, -118.80855560302734 34.02108383178711, -118.80852508544922 34.02108383178711, -118.8084945678711 34.021087646484375, -118.80845642089844 34.021095275878906, -118.80844116210938 34.0211067199707, -118.80841064453125 34.02112579345703, -118.80839538574219 34.02114486694336, -118.80838012695312 34.02116775512695, -118.80841827392578 34.021183013916016))","{""ele"":""68.6"",""lacounty:ain"":""4466021029"",""lacounty:bld_id"":""316602831093"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,8.7,,,,,,,,9072118442,1482599958,1,0,"POLYGON ((-118.79133605957031 34.022621154785156, -118.79130554199219 34.02256774902344, -118.79133605957031 34.022552490234375, -118.79132843017578 34.02253341674805, -118.79129028320312 34.02254867553711, -118.79125213623047 34.02248001098633, -118.791259765625 34.0224723815918, -118.79125213623047 34.022464752197266, -118.7912826538086 34.02245330810547, -118.79127502441406 34.02244186401367, -118.79132843017578 34.02241897583008, -118.79133605957031 34.02242660522461, -118.7913589477539 34.02241897583008, -118.79136657714844 34.02242660522461, -118.7913818359375 34.02241897583008, -118.7913818359375 34.02241134643555, -118.7914047241211 34.02239990234375, -118.79139709472656 34.02238845825195, -118.79145050048828 34.02236557006836, -118.79145812988281 34.02237319946289, -118.7914810180664 34.022361755371094, -118.79148864746094 34.02237319946289, -118.79150390625 34.02236557006836, -118.79154968261719 34.02244186401367, -118.79151153564453 34.02245330810547, -118.7915267944336 34.0224723815918, -118.79155731201172 34.022457122802734, -118.79159545898438 34.02251434326172, -118.79133605957031 34.022621154785156), (-118.79145050048828 34.02248001098633, -118.79138946533203 34.02250671386719, -118.79139709472656 34.022525787353516, -118.79146575927734 34.022499084472656, -118.79145050048828 34.02248001098633))","{""ele"":""47.5"",""lacounty:ain"":""4467031013"",""lacounty:bld_id"":""321878831508"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,9.0,,,,,,,,9119847823,1482599959,1,0,"POLYGON ((-118.79102325439453 34.022743225097656, -118.7909927368164 34.02268981933594, -118.79102325439453 34.022674560546875, -118.791015625 34.02265930175781, -118.79098510742188 34.022674560546875, -118.79093933105469 34.02260208129883, -118.79094696044922 34.0225944519043, -118.79094696044922 34.022586822509766, -118.79096984863281 34.02257537841797, -118.79096221923828 34.02256393432617, -118.791015625 34.02254104614258, -118.79102325439453 34.022552490234375, -118.79104614257812 34.02254104614258, -118.79105377197266 34.022552490234375, -118.79107666015625 34.02254104614258, -118.79106903076172 34.02252960205078, -118.79109191894531 34.02252197265625, -118.79109191894531 34.02251052856445, -118.79114532470703 34.02248764038086, -118.79114532470703 34.022499084472656, -118.79117584228516 34.02248764038086, -118.79117584228516 34.02249526977539, -118.79119110107422 34.022491455078125, -118.7912368774414 34.02256393432617, -118.79120635986328 34.02257537841797, -118.79121398925781 34.0225944519043, -118.79124450683594 34.022579193115234, -118.7912826538086 34.02263641357422, -118.79102325439453 34.022743225097656), (-118.79109954833984 34.02265930175781, -118.7911605834961 34.02263259887695, -118.7911376953125 34.022605895996094, -118.79107666015625 34.02263259887695, -118.79109954833984 34.02265930175781))","{""ele"":""48.8"",""lacounty:ain"":""4467031017"",""lacounty:bld_id"":""321936831533"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,2.5,,,,,,1955,,8506693202,1482153865,1,0,"POLYGON ((-118.78328704833984 34.022705078125, -118.78329467773438 34.022701263427734, -118.78325653076172 34.02263641357422, -118.7833023071289 34.022613525390625, -118.78330993652344 34.022621154785156, -118.78337097167969 34.02259826660156, -118.78336334228516 34.022586822509766, -118.7834243774414 34.022560119628906, -118.78346252441406 34.02262496948242, -118.7834701538086 34.022621154785156, -118.7835464477539 34.02274703979492, -118.78336334228516 34.0228271484375, -118.78328704833984 34.022705078125), (-118.78336334228516 34.02269744873047, -118.78338623046875 34.022735595703125, -118.7834243774414 34.0227165222168, -118.78340148925781 34.02267837524414, -118.78336334228516 34.02269744873047))","{""building:units"":""1"",""ele"":""38.6"",""lacounty:ain"":""4460033026"",""lacounty:bld_id"":""324270831564"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,8.9,,,,,,,,9147121777,1482599959,1,0,"POLYGON ((-118.79071807861328 34.02286911010742, -118.79067993164062 34.02281188964844, -118.79071807861328 34.02280044555664, -118.79071044921875 34.02278137207031, -118.7906723022461 34.022796630859375, -118.7906265258789 34.02272415161133, -118.79064178466797 34.02272033691406, -118.79063415527344 34.02271270751953, -118.79066467285156 34.022701263427734, -118.7906494140625 34.02268981933594, -118.79071044921875 34.02266311645508, -118.79071044921875 34.022674560546875, -118.79074096679688 34.022666931152344, -118.79074096679688 34.022674560546875, -118.790771484375 34.02266311645508, -118.79076385498047 34.02265548706055, -118.79078674316406 34.022647857666016, -118.79077911376953 34.02263259887695, -118.79083251953125 34.02260971069336, -118.79084014892578 34.022621154785156, -118.79086303710938 34.02260971069336, -118.7908706665039 34.022621154785156, -118.79088592529297 34.022613525390625, -118.79092407226562 34.02268600463867, -118.7908935546875 34.022701263427734, -118.79090118408203 34.0227165222168, -118.79093933105469 34.022705078125, -118.79096984863281 34.022762298583984, -118.79071807861328 34.02286911010742), (-118.79077911376953 34.022769927978516, -118.79084014892578 34.022743225097656, -118.79083251953125 34.022727966308594, -118.790771484375 34.02275466918945, -118.79077911376953 34.022769927978516))","{""ele"":""49.7"",""lacounty:ain"":""4467031018"",""lacounty:bld_id"":""322029831578"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,8.5,,,,,,,,9106210852,1482599959,1,0,"POLYGON ((-118.79041290283203 34.02300262451172, -118.79037475585938 34.022945404052734, -118.79041290283203 34.02293014526367, -118.79039764404297 34.02291488647461, -118.79036712646484 34.02293014526367, -118.79032135009766 34.02285385131836, -118.79033660888672 34.022850036621094, -118.79032897949219 34.02284240722656, -118.79035186767578 34.022830963134766, -118.79034423828125 34.02281951904297, -118.7904052734375 34.022796630859375, -118.7904052734375 34.02280807495117, -118.79043579101562 34.022796630859375, -118.79043579101562 34.02280807495117, -118.79046630859375 34.022796630859375, -118.79045867919922 34.02278518676758, -118.79048156738281 34.02277755737305, -118.79047393798828 34.02276611328125, -118.79052734375 34.022743225097656, -118.79053497314453 34.02275466918945, -118.79055786132812 34.022743225097656, -118.79056549072266 34.02275085449219, -118.79058074951172 34.02274703979492, -118.7906265258789 34.02281951904297, -118.79058837890625 34.02283477783203, -118.79060363769531 34.022850036621094, -118.79063415527344 34.02283477783203, -118.79066467285156 34.022891998291016, -118.79041290283203 34.02300262451172), (-118.79047393798828 34.02290344238281, -118.79053497314453 34.02287673950195, -118.79052734375 34.02286148071289, -118.79046630859375 34.02288818359375, -118.79047393798828 34.02290344238281))","{""ele"":""49.7"",""lacounty:ain"":""4467032019"",""lacounty:bld_id"":""322123831625"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,8.6,,,,,,,,9099392368,1482599958,1,0,"POLYGON ((-118.79161071777344 34.023067474365234, -118.79153442382812 34.022945404052734, -118.79153442382812 34.02294921875, -118.79151916503906 34.02293014526367, -118.79153442382812 34.022926330566406, -118.7915267944336 34.022911071777344, -118.79155731201172 34.02289962768555, -118.79154968261719 34.02288818359375, -118.7916030883789 34.02286911010742, -118.79161071777344 34.02287673950195, -118.79163360595703 34.022865295410156, -118.79164123535156 34.02287292480469, -118.79166412353516 34.02286148071289, -118.79165649414062 34.02285385131836, -118.79167938232422 34.02284240722656, -118.79167938232422 34.02283477783203, -118.79173278808594 34.02281188964844, -118.79173278808594 34.022823333740234, -118.79176330566406 34.02281188964844, -118.79176330566406 34.02281951904297, -118.7917709350586 34.02281951904297, -118.7917709350586 34.022823333740234, -118.79178619384766 34.02281951904297, -118.79180145263672 34.02283477783203, -118.79179382324219 34.0228385925293, -118.79182434082031 34.022891998291016, -118.79179382324219 34.02290344238281, -118.79180145263672 34.02291488647461, -118.79183197021484 34.02290344238281, -118.7918701171875 34.02295684814453, -118.79161071777344 34.023067474365234), (-118.79169464111328 34.022945404052734, -118.79166412353516 34.02295684814453, -118.79167175292969 34.02296829223633, -118.79170227050781 34.02295684814453, -118.79169464111328 34.022945404052734))","{""ele"":""54.8"",""lacounty:ain"":""4467031013"",""lacounty:bld_id"":""321794831682"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,8.2,,,,,,,,9051663008,1482599958,1,0,"POLYGON ((-118.79010772705078 34.02313995361328, -118.79007720947266 34.0230827331543, -118.79010772705078 34.023067474365234, -118.79010009765625 34.02305221557617, -118.79006958007812 34.023067474365234, -118.79002380371094 34.02299499511719, -118.7900390625 34.02299118041992, -118.79003143310547 34.022979736328125, -118.79005432128906 34.02296829223633, -118.79004669189453 34.0229606628418, -118.79010009765625 34.02293395996094, -118.79010772705078 34.022945404052734, -118.7901382446289 34.02293395996094, -118.7901382446289 34.022945404052734, -118.7901611328125 34.02293395996094, -118.7901611328125 34.02292251586914, -118.7901840209961 34.02291488647461, -118.79017639160156 34.02290344238281, -118.79022979736328 34.02288055419922, -118.79022979736328 34.022891998291016, -118.7902603149414 34.02288055419922, -118.7902603149414 34.02288818359375, -118.79027557373047 34.022884368896484, -118.79032135009766 34.02295684814453, -118.79029083251953 34.022972106933594, -118.79029846191406 34.022987365722656, -118.79032897949219 34.022972106933594, -118.79036712646484 34.02302932739258, -118.79010772705078 34.02313995361328), (-118.79017639160156 34.023040771484375, -118.79023742675781 34.023014068603516, -118.79022216796875 34.02299880981445, -118.7901611328125 34.02302551269531, -118.79017639160156 34.023040771484375))","{""ele"":""49.7"",""lacounty:ain"":""4467032019"",""lacounty:bld_id"":""322252831694"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,7.5,,,,,,,,9085755403,1482599958,1,0,"POLYGON ((-118.79131317138672 34.02320861816406, -118.7912826538086 34.023155212402344, -118.79131317138672 34.02313995361328, -118.79130554199219 34.02312469482422, -118.79126739501953 34.02313995361328, -118.79122161865234 34.02306365966797, -118.7912368774414 34.0230598449707, -118.79122924804688 34.023048400878906, -118.791259765625 34.02303695678711, -118.79125213623047 34.02302932739258, -118.79130554199219 34.023006439208984, -118.79131317138672 34.023014068603516, -118.79133605957031 34.023006439208984, -118.79134368896484 34.02301788330078, -118.79136657714844 34.023006439208984, -118.7913589477539 34.02299499511719, -118.7913818359375 34.02298355102539, -118.7913818359375 34.02297592163086, -118.79142761230469 34.022953033447266, -118.79143524169922 34.0229606628418, -118.79145812988281 34.02294921875, -118.79146575927734 34.0229606628418, -118.7914810180664 34.022953033447266, -118.7915267944336 34.02302932739258, -118.79149627685547 34.02304458618164, -118.79150390625 34.02305603027344, -118.79153442382812 34.02304458618164, -118.79157257080078 34.02309799194336, -118.79131317138672 34.02320861816406), (-118.79142761230469 34.0230712890625, -118.7914047241211 34.0230827331543, -118.79141235351562 34.02309799194336, -118.79143524169922 34.02308654785156, -118.79142761230469 34.0230712890625))","{""ele"":""55.3"",""lacounty:ain"":""4467031015"",""lacounty:bld_id"":""321856831735"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,apartments,,,,,,,,19.9,,,,,,1991,,9153940268,1482599959,1,0,"POLYGON ((-118.80379486083984 34.02332305908203, -118.80379486083984 34.02332305908203, -118.80381774902344 34.02330017089844, -118.8038330078125 34.02330780029297, -118.80384063720703 34.02329635620117, -118.80382537841797 34.02328109741211, -118.80387878417969 34.02322769165039, -118.80388641357422 34.023231506347656, -118.80390930175781 34.0232048034668, -118.80390167236328 34.023197174072266, -118.80391693115234 34.0231819152832, -118.80390930175781 34.02317810058594, -118.803955078125 34.02313232421875, -118.80396270751953 34.023136138916016, -118.80401611328125 34.02307891845703, -118.80403137207031 34.02309036254883, -118.80404663085938 34.02307891845703, -118.80403137207031 34.023067474365234, -118.8040542602539 34.02304458618164, -118.8040542602539 34.02304458618164, -118.80406951904297 34.02302932739258, -118.80413818359375 34.023075103759766, -118.80412292480469 34.023094177246094, -118.80413818359375 34.023094177246094, -118.80415344238281 34.023101806640625, -118.80415344238281 34.02311325073242, -118.80419158935547 34.023136138916016, -118.80418395996094 34.02315139770508, -118.80419158935547 34.02315902709961, -118.80423736572266 34.02310562133789, -118.80421447753906 34.02309036254883, -118.80422973632812 34.023075103759766, -118.8041763305664 34.02304458618164, -118.80420684814453 34.023014068603516, -118.80419158935547 34.02300262451172, -118.80419158935547 34.02299118041992, -118.80416870117188 34.022979736328125, -118.80416870117188 34.022987365722656, -118.80414581298828 34.022972106933594, -118.80413818359375 34.02298355102539, -118.8041000366211 34.0229606628418, -118.80413055419922 34.022926330566406, -118.80414581298828 34.02293395996094, -118.80416107177734 34.022918701171875, -118.80414581298828 34.02290725708008, -118.80419921875 34.02285385131836, -118.80420684814453 34.022857666015625, -118.80423736572266 34.022830963134766, -118.8042221069336 34.022823333740234, -118.80423736572266 34.02280807495117, -118.80422973632812 34.022804260253906, -118.80427551269531 34.02275848388672, -118.80428314208984 34.022762298583984, -118.80433654785156 34.022708892822266, -118.80435180664062 34.02272033691406, -118.80436706542969 34.022705078125, -118.80435943603516 34.02269744873047, -118.80438995361328 34.02265930175781, -118.80445861816406 34.022708892822266, -118.804443359375 34.02272415161133, -118.80445098876953 34.02272415161133, -118.8044662475586 34.02272415161133, -118.80447387695312 34.02273178100586, -118.80447387695312 34.022743225097656, -118.80448150634766 34.02274703979492, -118.80448150634766 34.02275085449219, -118.8045425415039 34.02279281616211, -118.80455780029297 34.022769927978516, -118.80458068847656 34.02278518676758, -118.80458068847656 34.02279281616211, -118.80461120605469 34.02281188964844, -118.80464935302734 34.02280807495117, -118.8046875 34.02283477783203, -118.80469512939453 34.0228271484375, -118.80473327636719 34.02285385131836, -118.80472564697266 34.02286148071289, -118.80474853515625 34.02287292480469, -118.80474090576172 34.02288055419922, -118.80475616455078 34.02288818359375, -118.8047103881836 34.02293014526367, -118.80470275878906 34.02292251586914, -118.80467224121094 34.02295684814453, -118.80469512939453 34.02297592163086, -118.80464935302734 34.02301788330078, -118.80464172363281 34.023014068603516, -118.80463409423828 34.02302551269531, -118.80464172363281 34.023033142089844, -118.8045883178711 34.02309036254883, -118.80459594726562 34.02309799194336, -118.80458068847656 34.02311706542969, -118.80458068847656 34.02311706542969, -118.80455017089844 34.023155212402344, -118.80455780029297 34.02315902709961, -118.8045425415039 34.023170471191406, -118.80448913574219 34.023136138916016, -118.80449676513672 34.023128509521484, -118.8044662475586 34.02310562133789, -118.80445861816406 34.023109436035156, -118.804443359375 34.02309799194336, -118.804443359375 34.02309036254883, -118.80435943603516 34.02302932739258, -118.80430603027344 34.0230827331543, -118.80432891845703 34.02309799194336, -118.80432891845703 34.023109436035156, -118.80431365966797 34.02312088012695, -118.80430603027344 34.02312469482422, -118.80429077148438 34.02314376831055, -118.80426788330078 34.02312469482422, -118.80424499511719 34.02314376831055, -118.80426025390625 34.023155212402344, -118.80425262451172 34.02315902709961, -118.80428314208984 34.0231819152832, -118.8043212890625 34.02317428588867, -118.80436706542969 34.02320098876953, -118.80437469482422 34.023193359375, -118.8044204711914 34.02322006225586, -118.80441284179688 34.02322769165039, -118.80442810058594 34.02323913574219, -118.8044204711914 34.02324295043945, -118.80443572998047 34.023250579833984, -118.80439758300781 34.023292541503906, -118.80438232421875 34.02328872680664, -118.80435180664062 34.02332305908203, -118.80437469482422 34.023338317871094, -118.80433654785156 34.02338409423828, -118.80432891845703 34.02337646484375, -118.80431365966797 34.02339172363281, -118.80432891845703 34.02339553833008, -118.80427551269531 34.02345657348633, -118.80428314208984 34.02346420288086, -118.80426788330078 34.02348327636719, -118.80427551269531 34.02348327636719, -118.80422973632812 34.023536682128906, -118.8041763305664 34.02350616455078, -118.80418395996094 34.023494720458984, -118.80415344238281 34.023475646972656, -118.80414581298828 34.02347946166992, -118.80413055419922 34.023468017578125, -118.80413055419922 34.023460388183594, -118.80406951904297 34.02341842651367, -118.8040771484375 34.02341079711914, -118.80403900146484 34.02338790893555, -118.80401611328125 34.02339553833008, -118.80400848388672 34.02339172363281, -118.8039779663086 34.0234260559082, -118.80394744873047 34.023406982421875, -118.80393981933594 34.02341079711914, -118.80390167236328 34.02338409423828, -118.80388641357422 34.02338409423828, -118.80387115478516 34.02337646484375, -118.80387115478516 34.02336502075195, -118.8038558959961 34.02335739135742, -118.80384826660156 34.02336120605469, -118.8038330078125 34.02334976196289, -118.80382537841797 34.02336120605469, -118.80378723144531 34.023338317871094, -118.80379486083984 34.02332305908203), (-118.80406188964844 34.023372650146484, -118.80406188964844 34.02338409423828, -118.80409240722656 34.023399353027344, -118.80411529541016 34.02337646484375, -118.80410766601562 34.02334976196289, -118.8041000366211 34.023345947265625, -118.80409240722656 34.023345947265625, -118.80406951904297 34.023372650146484, -118.80406188964844 34.023372650146484), (-118.8040542602539 34.02336120605469, -118.8040771484375 34.023338317871094, -118.80406951904297 34.023284912109375, -118.8040542602539 34.023277282714844, -118.80404663085938 34.02328109741211, -118.80401611328125 34.02326583862305, -118.80400085449219 34.02328109741211, -118.80403900146484 34.02330780029297, -118.80400848388672 34.023345947265625, -118.80403137207031 34.02336120605469, -118.8040542602539 34.02336120605469), (-118.80442810058594 34.022979736328125, -118.8044204711914 34.02297592163086, -118.80440521240234 34.02297592163086, -118.80437469482422 34.02301788330078, -118.80438995361328 34.02302932739258, -118.80439758300781 34.02302551269531, -118.80440521240234 34.02302932739258, -118.80442810058594 34.02300262451172, -118.80442810058594 34.022979736328125), (-118.80409240722656 34.02332305908203, -118.80411529541016 34.023338317871094, -118.80412292480469 34.02333450317383, -118.80413055419922 34.023338317871094, -118.80414581298828 34.02332305908203, -118.80414581298828 34.02332305908203, -118.80416870117188 34.02330017089844, -118.80412292480469 34.02326965332031, -118.80409240722656 34.0233039855957, -118.80409240722656 34.02332305908203), (-118.80436706542969 34.02299118041992, -118.80438995361328 34.02296447753906, -118.80438232421875 34.022918701171875, -118.80438232421875 34.022918701171875, -118.80436706542969 34.02290344238281, -118.80435943603516 34.022911071777344, -118.80433654785156 34.022891998291016, -118.8043212890625 34.02290725708008, -118.80435943603516 34.02293395996094, -118.8043212890625 34.02297592163086, -118.8043441772461 34.02299118041992, -118.80436706542969 34.02299118041992), (-118.80445098876953 34.022891998291016, -118.80448150634766 34.02291488647461, -118.80450439453125 34.02288818359375, -118.80447387695312 34.022865295410156, -118.80445098876953 34.022891998291016), (-118.80441284179688 34.022953033447266, -118.80443572998047 34.02296829223633, -118.804443359375 34.0229606628418, -118.80445098876953 34.02296447753906, -118.80448150634766 34.02293014526367, -118.804443359375 34.02289962768555, -118.80441284179688 34.02293014526367, -118.80441284179688 34.022953033447266), (-118.80413055419922 34.023258209228516, -118.80416870117188 34.02328109741211, -118.80419158935547 34.023258209228516, -118.80415344238281 34.02323532104492, -118.80413055419922 34.023258209228516))","{""building:units"":""1"",""ele"":""83.3"",""lacounty:ain"":""4467020024"",""lacounty:bld_id"":""317950831769"",""type"":""multipolygon""}",relation
